0
CA,112
NY,68
TX,40
MA,37
FL,36
PA,35
OR,29
IL,27
MD,27
VA,23
WA,20
NJ,20
OH,19
MI,19
CO,18
NC,17
GA,15
CT,14
AZ,11
IN,9
MN,9
DC,7
TN,7
NH,6
IA,6
MO,6
KS,6
SC,6
WI,5
NM,5
ME,5
OK,5
NE,4
NV,4
VT,4
UT,4
KY,4
AR,3
RI,3
SD,3
DE,2
HI,2
AK,2
WY,1
ID,1

1
CA,109
NY,68
MA,45
FL,35
PA,35
CT,31
NJ,30
TX,30
VA,28
MD,23
WA,21
IL,19
OH,19
MN,16
CO,15
WI,14
MI,14
OR,14
MO,13
NC,12
GA,12
TN,10
OK,9
NM,8
AZ,8
KS,8
IN,7
NE,6
AR,6
SC,6
VT,5
IA,5
DE,4
RI,4
NH,3
ID,3
ME,3
UT,3
MT,3
DC,2
HI,2
LA,2
NV,2
AK,2
AL,2
KY,2
WY,1

2
CA,52
NY,42
TX,28
FL,27
PA,24
IL,24
MA,24
WA,20
OR,19
NJ,14
AZ,14
OH,14
MD,12
DC,10
NC,10
MI,10
CO,9
MN,9
VA,7
CT,7
KY,7
IN,6
MO,6
KS,6
SC,6
TN,5
GA,4
DE,3
WI,3
NM,3
AL,3
OK,3
UT,3
WV,2
NH,2
LA,2
NE,2
NV,2
AR,2
IA,2
HI,1
AK,1
AS,1
VT,1
ID,1
RI,1
MT,1
MS,1
PR,1

